20260219T,618.62,610.0,600.0,600.0,-1
20260220T,611.5,610.0,610.0,610.0,0
20260223T,613.27,610.0,600.0,600.0,0
20260224T,609.19,610.0,600.0,608.0,0
20260225T,611.79,620.0,600.0,615.0,0
20260226T,610.46,620.0,620.0,630.0,1
20260302T,613.39,610.0,600.0,600.0,0
20260303T,613.47,610.0,600.0,600.0,0
20260304T,612.02,610.0,600.0,610.0,0
20260305T,610.28,620.0,600.0,600.0,1
20260309T,609.28,608.0,600.0,600.0,0
20260310T,606.68,609.0,600.0,610.0,0
20260311T,608.01,625.0,600.0,610.0,-1
20260330T,571.69,600.0,560.0,560.0,0
20260331T,586.79,577.0,580.0,570.0,0
20260401T,580.07,600.0,580.0,580.0,1
20260402T,580.99,590.0,580.0,580.0,1
20260403T,583.68,590.0,580.0,580.0,1
20260406T,583.62,590.0,580.0,588.0,1
20260407T,584.15,600.0,588.0,580.0,1
20260408T,588.97,600.0,588.0,600.0,1
20260409T,604.21,610.0,582.0,605.0,1
20260410T,604.27,615.0,582.0,582.0,1
20260413T,612.51,620.0,600.0,613.0,1
20260414T,609.99,630.0,600.0,626.0,0
20260415T,605.7,630.0,600.0,630.0,0
